Buono,Cattivo
L'era Migliore Per  I Viaggi Nel Tempo,L'era Peggiore Per I Viaggi Nel Tempo
Il Migliore,Il Peggiore
Grande Numero,Piccolo Numero
FALSO,VERO
Moderno,Antiquato
Bella Parola,Brutta Parola
Minuscolo,Piccolo
Naturale,Innaturale
Persona Fasulla,Persona Genuina
Originale,Derivato
Colore Sexy,Colore Poco Sexy
Vantaggi Per Tutti,Vantaggi Per Te
Potente,Impotente
Vaporizzatore,Non Svapa
Ortaggio,Frutta
Pseudoscienza,Scienza
Argomento Serio,Argomento Divertente
Sano,Zoppo
Notizia,Pettegolezzo
Facile Sedersi,Difficile Sedersi
Troppo,Non Abbastanza
Verticale,Orizzontale
Profumato,Non Profumato
Non Abbracciabile,Abbracciabile
Omogeneo,Eterogeneo
Esclusivo,Inclusivo
Buona Razza Di Cane,Razza Di Cane Cattiva
Commercio,Arte
Icona Pop (Michael Jackson, Britney Spears, Beyonce, Elton John),Meteora
Buoni Consigli,Cattivi Consigli
Caramelle Buone,Caramelle Che Non a Tutti Piacciono  (Liquirizia)
Radicale,Tradizionale
Buona Sensazione in Bocca,Brutta Sensazione in Bocca
Legale,Illegale
Pensiero Superficiale,Pensiero Profondo
Buona Scuola,Cattiva Scuola
Sempre Puntuali,Mai Puntuale
Vivrà Fino a 100 Anni,Non Vivrà Fino a 100 Anni
Buon Personaggio Disney,Cattivo Personaggio Disney
Buon Presidente,Cattivo Presidente
Strano,Singolare
Non Famoso,Famoso
Dio Più Potente,Il Dio Meno Potente
Persona Divertente,Persona Noiosa
Libro Sopravvalutato,Libro Sottovalutato
Il Miglior Lavoro,Il Peggior Lavoro
Specie Sovrappopolate (Cani, Gatti, Cervi),Specie in via Di Estinzione - (Rinoceronti Neri, Tigri Bianche, Elefanti)
Prato,Erbaccia
Terrificante,Emozionante
Inaspettato,Previsto
Persona Che Ti Potrebbe Sopraffare,Persona Che Potresti Sopraffare
Gioco Sopravvalutato,Gioco Sottovalutato
Non Vuoi Che I Tuoi Genitori Ti Guardino Mentre Lo Fai,Vuoi Che I Tuoi Genitori Ti Guardino Mentre Lo Fai
Persone Malvagie,Brava Gente
